datetime,Wind_speed(30m),Wheel height wind direction,Temperature,Air Pressure,humidity,Practical Power,Capacity
1/1/2017 0:00,7.42,126.38,-14.76,914.5,84.77,13.062385,49.5
1/1/2017 0:15,5.45,128.73,-14.76,914.93,84.87,12.587452,49.5
1/1/2017 0:30,5.21,126.64,-14.48,914.5,85.95,12.514652,49.5
1/1/2017 0:45,9.52,117.67,-14.62,914.07,83.99,12.421052,49.5
1/1/2017 1:00,8.44,126.31,-14.35,914.07,85.36,12.509105,49.5
1/1/2017 1:15,9.64,127.6,-14.35,914.07,85.07,12.462652,49.5
1/1/2017 1:30,9.67,129.73,-14.48,914.07,85.36,12.240785,49.5
1/1/2017 1:45,8.98,127.87,-14.48,914.07,84.18,12.237319,49.5
1/1/2017 2:00,7.62,130.08,-14.76,913.64,84.77,11.984253,49.5
1/1/2017 2:15,8.01,128.62,-15.18,913.64,85.56,12.091719,49.5
1/1/2017 2:30,9.68,127.06,-15.04,913.21,83.79,12.171452,49.5
1/1/2017 2:45,9.18,129.41,-15.18,913.21,85.16,12.192253,49.5
1/1/2017 3:00,11.44,127.74,-14.07,912.35,84.77,11.762386,49.5
1/1/2017 3:15,13.31,129.84,-13.38,912.78,84.77,11.776253,49.5
1/1/2017 3:30,16.61,126.73,-13.38,912.35,83.99,12.167985,49.5
1/1/2017 3:45,15.43,122.56,-13.8,912.35,84.87,13.093585,49.5
1/1/2017 4:00,11.91,125.55,-14.07,912.35,85.56,11.855986,49.5
1/1/2017 4:15,14.6,122.83,-13.8,911.92,86.14,11.845586,49.5
1/1/2017 4:30,15.28,121.31,-14.07,911.92,85.07,12.341318,49.5
1/1/2017 4:45,13.95,121.56,-14.35,911.92,86.04,12.251185,49.5
1/1/2017 5:00,14.33,122.93,-13.93,911.49,85.07,12.247025,49.5
1/1/2017 5:15,14.32,121.97,-13.93,911.06,85.36,12.265052,49.5
1/1/2017 5:30,14.42,127.29,-13.93,910.63,87.03,12.251185,49.5
1/1/2017 5:45,15.52,126.01,-13.8,910.63,86.34,12.251185,49.5
1/1/2017 6:00,16.66,127.74,-13.52,909.77,86.24,12.167985,49.5
1/1/2017 6:15,16.06,122.81,-13.52,909.34,87.71,11.391453,49.5
